Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,SEO Title,SEO Description,Status,Product Metafield: reviews.rating [rating],Product Metafield: reviews.rating_count [number_integer],Product Metafield: custom.sold_count [number_integer]
hero-helmet-11-scale,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-helmet-11-scale-3.jpg,3,1:1 Scale Spider Hero Helmet,,,,,,,
hero-helmet-11-scale,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-helmet-11-scale-4.jpg,4,1:1 Scale Spider Hero Helmet,,,,,,,
hero-helmet-11-scale,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-helmet-11-scale-5.jpg,5,1:1 Scale Spider Hero Helmet,,,,,,,
hero-helmet-11-scale,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-helmet-11-scale-6.jpg,6,1:1 Scale Spider Hero Helmet,,,,,,,
hero-helmet-11-scale,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-helmet-11-scale-7.jpg,7,1:1 Scale Spider Hero Helmet,,,,,,,
hero-helmet-11-scale,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-helmet-11-scale-8.jpg,8,1:1 Scale Spider Hero Helmet,,,,,,,
led-purge-mask-glow,LED Skeleton Purge Mask,<p>Glow-wire skeleton face that lights up the whole mask in the dark. The single most photographed thing at any Halloween party.</p><ul><li>Glow wire outlines the whole skeleton face in the dark</li><li>Lightweight with an adjustable strap - fits over a hood</li><li>The single most filmed thing at any Halloween party</li></ul>,,LED Masks,"LED Masks, needs-price",FALSE,Title,Default Title,,,,,led-purge-mask-glow,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/led-purge-mask-glow.jpg,1,LED Skeleton Purge Mask,,LED Skeleton Purge Mask | Free US Shipping Before Halloween,Glow-wire skeleton face that lights up the whole mask in the dark. The single most photographed thing at any Halloween party.,draft,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.3""}",420,
led-purge-mask-glow,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/led-purge-mask-glow-2.jpg,2,LED Skeleton Purge Mask,,,,,,,
led-purge-mask-glow,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/led-purge-mask-glow-3.jpg,3,LED Skeleton Purge Mask,,,,,,,
led-purge-mask-glow,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/led-purge-mask-glow-4.jpg,4,LED Skeleton Purge Mask,,,,,,,
led-purge-mask-glow,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/led-purge-mask-glow-5.jpg,5,LED Skeleton Purge Mask,,,,,,,
white-hero-mask-remote,White Spider Hero Mask with Remote Ring,"<p>The white and pink version, with the same remote-controlled moving lenses. Comes boxed, which makes it an easy gift.</p><ul><li>The white and pink colourway, with the same moving lenses</li><li>Wireless ring control, several lighting modes</li><li>Arrives boxed, which makes it an easy gift</li></ul>",,LED Masks,LED Masks,TRUE,Title,Default Title,,,,,white-hero-mask-remote,shopify,25,deny,manual,49.00,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/white-hero-mask-remote.jpg,1,White Spider Hero Mask with Remote Ring,,White Spider Hero Mask with Remote Ring | Free US Shipping Before Hall,"The white and pink version, with the same remote-controlled moving lenses. Comes boxed, which makes it an easy gift.",active,,,
led-mask-gloves-set,LED Mask & Gloves Set,"<p>Mask plus light-up gloves in one box, three glow modes. The gloves are what turn a costume into a video.</p><ul><li>Mask and light-up gloves together in one box</li><li>Three glow modes, and the gloves are what make it read on video</li><li>Sized for boys, girls and adults</li></ul>",,LED Masks,"LED Masks, unavailable-at-supplier",FALSE,Title,Default Title,,,,,led-mask-gloves-set,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/led-mask-gloves-set.jpg,1,LED Mask & Gloves Set,,LED Mask & Gloves Set | Free US Shipping Before Halloween,"Mask plus light-up gloves in one box, three glow modes. The gloves are what turn a costume into a video.",draft,,,
led-mask-4-modes,"LED Halloween Mask, 4 Lighting Modes","<p>Steady, slow flash, fast flash and sound-reactive, in a run of colours. Battery powered, adjustable strap, fits adults and teens.</p><ul><li>Four modes: steady, slow flash, fast flash and sound-reactive</li><li>Battery powered, so there is no cable to hide</li><li>Adjustable strap, fits adults and teens</li></ul>",,LED Masks,"LED Masks, unavailable-at-supplier",FALSE,Title,Default Title,,,,,led-mask-4-modes,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/led-mask-4-modes.jpg,1,"LED Halloween Mask, 4 Lighting Modes",,"LED Halloween Mask, 4 Lighting Modes | Free US Shipping Before Hallowe","Steady, slow flash, fast flash and sound-reactive, in a run of colours. Battery powered, adjustable strap, fits adults and teens.",draft,,,
floating-candles-20pc,20-Piece Floating Candles with Magic Wand Remote,"<p>Twenty candles that hang in mid-air and light up when you wave the wand. Flickering warm light, two modes and a timer.</p><ul><li>20 candles that hang in mid-air on clear line</li><li>Wave the wand and they light - no reaching, no switches</li><li>Flickering warm light, two modes and a built-in timer</li></ul>",,Lights & Candles,"Lights & Candles, needs-price",FALSE,Title,Default Title,,,,,floating-candles-20pc,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-20pc.jpg,1,20-Piece Floating Candles with Magic Wand Remote,,20-Piece Floating Candles with Magic Wand Remote | Free US Shipping Be,"Twenty candles that hang in mid-air and light up when you wave the wand. Flickering warm light, two modes and a timer.",draft,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.6""}",9,
floating-candles-20pc,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-20pc-2.jpg,2,20-Piece Floating Candles with Magic Wand Remote,,,,,,,
floating-candles-20pc,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-20pc-3.jpg,3,20-Piece Floating Candles with Magic Wand Remote,,,,,,,
floating-candles-20pc,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-20pc-4.jpg,4,20-Piece Floating Candles with Magic Wand Remote,,,,,,,
floating-candles-20pc,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-20pc-5.jpg,5,20-Piece Floating Candles with Magic Wand Remote,,,,,,,
floating-candles-20pc,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-20pc-6.jpg,6,20-Piece Floating Candles with Magic Wand Remote,,,,,,,
floating-candles-20pc,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-20pc-7.jpg,7,20-Piece Floating Candles with Magic Wand Remote,,,,,,,
floating-candles-20pc,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-20pc-8.jpg,8,20-Piece Floating Candles with Magic Wand Remote,,,,,,,
floating-candles-12pc,"12-Pack Floating Candles, Enchanted Set","<p>The smaller set for a hallway or a single room, same wand remote. Boxed as a gift set.</p><ul><li>12 candles - the right size for a hallway or a single room</li><li>Same magic wand remote as the larger set</li><li>Boxed as a gift set</li></ul>",,Lights & Candles,"Lights & Candles, unavailable-at-supplier",FALSE,Title,Default Title,,,,,floating-candles-12pc,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-12pc.jpg,1,"12-Pack Floating Candles, Enchanted Set",,"12-Pack Floating Candles, Enchanted Set | Free US Shipping Before Hall","The smaller set for a hallway or a single room, same wand remote. Boxed as a gift set.",draft,,,
floating-candles-kidsafe,Kid-Safe Floating LED Candles with Wand,"<p>No flame, no wax, no heat - safe to hang in a child's room. Wand remote and battery operated, so they work anywhere.</p><ul><li>No flame, no wax and no heat - safe in a child's room</li><li>Wand remote controlled, battery operated</li><li>Works for Christmas as well, so it is not a one-month buy</li></ul>",,Lights & Candles,"Lights & Candles, unavailable-at-supplier",FALSE,Title,Default Title,,,,,floating-candles-kidsafe,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/floating-candles-kidsafe.jpg,1,Kid-Safe Floating LED Candles with Wand,,Kid-Safe Floating LED Candles with Wand | Free US Shipping Before Hall,"No flame, no wax, no heat - safe to hang in a child's room. Wand remote and battery operated, so they work anywhere.",draft,,,
pillar-candles-remote-3,"Flameless LED Pillar Candles, Set of 3","<p>Orange pillars with witch and haunted-house cut-outs that throw a silhouette on the wall. Remote, timers, and waterproof for the porch.</p><ul><li>Set of three orange pillars with cut-out silhouettes</li><li>Throws witch and haunted-house shapes onto the wall behind</li><li>Remote, timer and waterproof, so they can go outside</li></ul>",,Lights & Candles,Lights & Candles,TRUE,Title,Default Title,,,,,pillar-candles-remote-3,shopify,25,deny,manual,23.14,39.90,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pillar-candles-remote-3.jpg,1,"Flameless LED Pillar Candles, Set of 3",,"Flameless LED Pillar Candles, Set of 3 | Free US Shipping Before Hallo","Orange pillars with witch and haunted-house cut-outs that throw a silhouette on the wall. Remote, timers, and waterproof for the porch.",active,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.8""}",145,
pillar-candles-remote-3,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pillar-candles-remote-3-2.jpg,2,"Flameless LED Pillar Candles, Set of 3",,,,,,,
pillar-candles-remote-3,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pillar-candles-remote-3-3.jpg,3,"Flameless LED Pillar Candles, Set of 3",,,,,,,
pillar-candles-remote-3,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pillar-candles-remote-3-4.jpg,4,"Flameless LED Pillar Candles, Set of 3",,,,,,,
pillar-candles-remote-3,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pillar-candles-remote-3-5.jpg,5,"Flameless LED Pillar Candles, Set of 3",,,,,,,
pillar-candles-remote-3,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pillar-candles-remote-3-6.jpg,6,"Flameless LED Pillar Candles, Set of 3",,,,,,,
pillar-candles-remote-3,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pillar-candles-remote-3-7.jpg,7,"Flameless LED Pillar Candles, Set of 3",,,,,,,
pillar-candles-remote-3,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pillar-candles-remote-3-8.jpg,8,"Flameless LED Pillar Candles, Set of 3",,,,,,,
pumpkin-candle-holders-2,Pumpkin Candle Holder Set with Remote,"<p>Two amber jack-o'-lanterns on black metal stands with flameless candles inside. A centrepiece that works on a mantel or a dinner table.</p><ul><li>Two amber jack-o'-lanterns on black metal stands</li><li>Flameless candles inside, on a remote</li><li>Made as a centrepiece - mantel, table or entryway</li></ul>",,Lights & Candles,"Lights & Candles, needs-price",FALSE,Title,Default Title,,,,,pumpkin-candle-holders-2,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pumpkin-candle-holders-2.jpg,1,Pumpkin Candle Holder Set with Remote,,Pumpkin Candle Holder Set with Remote | Free US Shipping Before Hallow,Two amber jack-o'-lanterns on black metal stands with flameless candles inside. A centrepiece that works on a mantel or a dinner table.,draft,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.6""}",43,1082
pumpkin-candle-holders-2,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pumpkin-candle-holders-2-2.jpg,2,Pumpkin Candle Holder Set with Remote,,,,,,,
pumpkin-candle-holders-2,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pumpkin-candle-holders-2-3.jpg,3,Pumpkin Candle Holder Set with Remote,,,,,,,
pumpkin-candle-holders-2,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pumpkin-candle-holders-2-4.jpg,4,Pumpkin Candle Holder Set with Remote,,,,,,,
pumpkin-candle-holders-2,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pumpkin-candle-holders-2-5.jpg,5,Pumpkin Candle Holder Set with Remote,,,,,,,
pumpkin-candle-holders-2,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pumpkin-candle-holders-2-6.jpg,6,Pumpkin Candle Holder Set with Remote,,,,,,,
pumpkin-candle-holders-2,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pumpkin-candle-holders-2-7.jpg,7,Pumpkin Candle Holder Set with Remote,,,,,,,
pumpkin-candle-holders-2,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/pumpkin-candle-holders-2-8.jpg,8,Pumpkin Candle Holder Set with Remote,,,,,,,
solar-fairy-lights-80ft,"80ft Solar Fairy Lights, 2 Pack","<p>240 LEDs across two 80ft runs, solar charged and waterproof, with 8 modes. No plug and no batteries to replace.</p><ul><li>Two 80ft runs, 240 LEDs in total</li><li>Solar charged and waterproof - no plug, no batteries</li><li>8 lighting modes</li></ul>",,Lights & Candles,"Lights & Candles, needs-price",FALSE,Title,Default Title,,,,,solar-fairy-lights-80ft,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/solar-fairy-lights-80ft.jpg,1,"80ft Solar Fairy Lights, 2 Pack",,"80ft Solar Fairy Lights, 2 Pack | Free US Shipping Before Halloween","240 LEDs across two 80ft runs, solar charged and waterproof, with 8 modes. No plug and no batteries to replace.",draft,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.5""}",599,10290
solar-fairy-lights-80ft,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/solar-fairy-lights-80ft-2.jpg,2,"80ft Solar Fairy Lights, 2 Pack",,,,,,,
solar-fairy-lights-80ft,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/solar-fairy-lights-80ft-3.jpg,3,"80ft Solar Fairy Lights, 2 Pack",,,,,,,
solar-fairy-lights-80ft,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/solar-fairy-lights-80ft-4.jpg,4,"80ft Solar Fairy Lights, 2 Pack",,,,,,,
solar-fairy-lights-80ft,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/solar-fairy-lights-80ft-5.jpg,5,"80ft Solar Fairy Lights, 2 Pack",,,,,,,
solar-fairy-lights-80ft,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/solar-fairy-lights-80ft-6.jpg,6,"80ft Solar Fairy Lights, 2 Pack",,,,,,,
solar-fairy-lights-80ft,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/solar-fairy-lights-80ft-7.jpg,7,"80ft Solar Fairy Lights, 2 Pack",,,,,,,
solar-fairy-lights-80ft,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/solar-fairy-lights-80ft-8.jpg,8,"80ft Solar Fairy Lights, 2 Pack",,,,,,,
halloween-tree-lights-black,"24in Black Halloween Tree Lights, 2 Pack","<p>A pair of bare black trees strung with orange and purple lights. Battery or USB, so they sit anywhere indoors.</p><ul><li>A pair of bare black trees strung with orange and purple</li><li>24 inches tall - sits on a console or a mantel</li><li>Battery or USB powered</li></ul>",,Lights & Candles,"Lights & Candles, unavailable-at-supplier",FALSE,Title,Default Title,,,,,halloween-tree-lights-black,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-black.jpg,1,"24in Black Halloween Tree Lights, 2 Pack",,"24in Black Halloween Tree Lights, 2 Pack | Free US Shipping Before Hal","A pair of bare black trees strung with orange and purple lights. Battery or USB, so they sit anywhere indoors.",draft,,,
halloween-tree-lights-24led,"24in Orange & Purple LED Tree, 2 Pack","<p>24 LEDs per tree on a mantel, entryway or TV console. Warm orange with a purple wash.</p><ul><li>24 LEDs per tree, warm orange with a purple wash</li><li>24 inches tall, two to a set</li><li>USB or battery, for indoor use</li></ul>",,Lights & Candles,"Lights & Candles, needs-price",FALSE,Title,Default Title,,,,,halloween-tree-lights-24led,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-24led.jpg,1,"24in Orange & Purple LED Tree, 2 Pack",,"24in Orange & Purple LED Tree, 2 Pack | Free US Shipping Before Hallow","24 LEDs per tree on a mantel, entryway or TV console. Warm orange with a purple wash.",draft,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.6""}",754,
halloween-tree-lights-24led,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-24led-2.jpg,2,"24in Orange & Purple LED Tree, 2 Pack",,,,,,,
halloween-tree-lights-24led,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-24led-3.jpg,3,"24in Orange & Purple LED Tree, 2 Pack",,,,,,,
halloween-tree-lights-24led,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-24led-4.jpg,4,"24in Orange & Purple LED Tree, 2 Pack",,,,,,,
halloween-tree-lights-24led,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-24led-5.jpg,5,"24in Orange & Purple LED Tree, 2 Pack",,,,,,,
halloween-tree-lights-24led,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-24led-6.jpg,6,"24in Orange & Purple LED Tree, 2 Pack",,,,,,,
halloween-tree-lights-24led,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-24led-7.jpg,7,"24in Orange & Purple LED Tree, 2 Pack",,,,,,,
halloween-tree-lights-24led,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/halloween-tree-lights-24led-8.jpg,8,"24in Orange & Purple LED Tree, 2 Pack",,,,,,,
under-cabinet-rgb-bars,RGB Under-Cabinet Light Bars,"<p>Magnetic rechargeable bars that stick under a shelf and wash the whole surface in colour. Remote and touch control, dimmable.</p><ul><li>Magnetic bars that stick under a shelf and wash it in colour</li><li>Rechargeable and dimmable, with remote and touch control</li><li>Sold in packs of 4, 5 or 6</li></ul>",,Lights & Candles,"Lights & Candles, needs-price",FALSE,Title,Default Title,,,,,under-cabinet-rgb-bars,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/under-cabinet-rgb-bars.jpg,1,RGB Under-Cabinet Light Bars,,RGB Under-Cabinet Light Bars | Free US Shipping Before Halloween,"Magnetic rechargeable bars that stick under a shelf and wash the whole surface in colour. Remote and touch control, dimmable.",draft,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.5""}",438,6915
under-cabinet-rgb-bars,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/under-cabinet-rgb-bars-2.jpg,2,RGB Under-Cabinet Light Bars,,,,,,,
under-cabinet-rgb-bars,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/under-cabinet-rgb-bars-3.jpg,3,RGB Under-Cabinet Light Bars,,,,,,,
under-cabinet-rgb-bars,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/under-cabinet-rgb-bars-4.jpg,4,RGB Under-Cabinet Light Bars,,,,,,,
under-cabinet-rgb-bars,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/under-cabinet-rgb-bars-5.jpg,5,RGB Under-Cabinet Light Bars,,,,,,,
under-cabinet-rgb-bars,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/under-cabinet-rgb-bars-6.jpg,6,RGB Under-Cabinet Light Bars,,,,,,,
under-cabinet-rgb-bars,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/under-cabinet-rgb-bars-7.jpg,7,RGB Under-Cabinet Light Bars,,,,,,,
under-cabinet-rgb-bars,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/under-cabinet-rgb-bars-8.jpg,8,RGB Under-Cabinet Light Bars,,,,,,,
retro-pumpkin-desk-lamp,Retro Pumpkin & Bat Stained-Glass Desk Lamp,"<p>A Tiffany-style lamp with a pumpkin and bat shade. Reads as a real piece of decor rather than a decoration you put away in November.</p><ul><li>Stained-glass style shade with a pumpkin and bat pattern</li><li>Reads as a real lamp, not a decoration you box up in November</li><li>Warm vintage glow for a bedroom or living room</li></ul>",,Lights & Candles,"Lights & Candles, needs-price",FALSE,Title,Default Title,,,,,retro-pumpkin-desk-lamp,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/retro-pumpkin-desk-lamp.jpg,1,Retro Pumpkin & Bat Stained-Glass Desk Lamp,,Retro Pumpkin & Bat Stained-Glass Desk Lamp | Free US Shipping Before ,A Tiffany-style lamp with a pumpkin and bat shade. Reads as a real piece of decor rather than a decoration you put away in November.,draft,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""3.4""}",34,
